arrondissement,year,actifs_occupes,big_house,cdd,chomeurs,college_grad,csp_employed,csp_plus,empaid,fam_mono,immigration,interim,min_diploma,non_college,pop2554,pop3044,pop4559,pop5579,pop6074,retired,youth
5,2006-12-31,28127.212304999997,3344.227567,3553.472603,2730.2673360000003,26602.760116999998,4091.6422660000007,15783.703139000001,123.571494,1940.602924,9702.376297,229.05699200000004,6842.3366540000015,5220.505493999999,25605.697788999998,12159.999194,11232.383158999999,13971.542495999998,7787.984134,1680.3778590000002,9966.111868
5,2007-12-31,28896.540584,3551.726445999999,3684.996993,2749.271047,27372.833625999996,4337.684187,16138.250261000001,101.72364499999999,1972.226976,10100.488777,217.21362500000004,6714.855985000003,5435.677899,26073.443396000006,12434.266240000003,11259.690688,14284.854297000002,8118.128564999999,1670.3957209999999,9968.616336
5,2008-12-31,28718.970489000003,3397.2846149999996,3589.789716999999,2703.4380000000006,27185.336499000005,4239.344938,16140.019919999997,100.291732,1918.8713599999996,9967.500455999998,164.840112,6500.412089000002,5406.447710999999,25776.522911,12394.113508999995,11053.89804,14184.362431999996,8106.621990000001,1662.820573,10138.460897
5,2009-12-31,28261.753714000002,3371.002189,3531.5885659999994,2729.3373699999997,27332.462571999997,4132.32764,15889.038873000003,82.24625800000001,1927.9887110000002,10070.37129,145.12837999999996,5945.320917000001,5295.975004,25372.536973,12328.276711999999,10617.21653,14016.822670000001,8334.666896,1602.6223320000001,10280.605177000003
5,2010-12-31,27791.574245000007,3371.2514350000006,3499.57514,2833.6666170000008,27574.100851000003,4165.377663,15436.699077000003,56.42080300000001,1946.246544,10023.049345999998,137.57581,5768.096572,5241.1540749999995,25060.280558999995,12050.366772999998,10411.833512000001,13993.678266,8372.573232,1566.963068,10235.470695999997
5,2011-12-31,27907.22991205633,3481.042995734988,3450.247972220761,3085.589090420823,28110.81593304369,4083.3283512519874,15589.973961193307,43.36463042641041,1956.2674198717175,9944.628764418107,142.01400717104164,5388.552631559734,5086.2417104134465,25180.571699589007,12225.138685937385,10084.51097230117,13730.302296257603,8481.017639478694,1471.588183330616,10218.72058284936
5,2012-12-31,27479.56992015292,3384.4398929873128,3391.0558129433207,2992.7689280547834,28462.46312206454,3899.9061431938585,15373.711191272761,48.98911228742733,2083.1186177960135,9637.563539423269,147.30983353774894,4873.7215405957895,4833.394106354199,24733.980137923965,11989.235348714788,9857.204576143018,13553.93428887306,8531.296172168608,1391.766552629278,10218.271959421332
5,2013-12-31,27486.622826393675,3476.393045444516,3399.1880832505512,3074.2695954397213,28786.08875248298,3788.427474984124,15384.221330137118,49.95460208948381,2134.964891999469,9751.226841865348,158.3650354955602,4767.335123804649,4694.261256754974,24513.35752836565,11804.120868011318,9829.097491816463,13704.276100271949,8703.39016811505,1298.1152424371915,10213.011706316754
5,2014-12-31,27370.32656094174,3590.2380155786786,3387.7014089710865,2996.9128242230813,28934.460185118853,3793.6101245740765,15271.046375772772,45.50129209464441,2102.020849123901,9635.042171705818,162.77886360420854,4704.26908231542,4540.139588131548,24210.805243645267,11404.4133674762,9791.11618739825,13938.780479088435,8895.062495874352,1234.664277918318,10131.652788335166
5,2015-12-31,27153.136722898016,3580.011826971646,3222.5961116249223,3014.415027507998,28801.211233187336,3683.8508045142353,15338.4548864235,59.88801248786843,2152.1748960226164,9494.162285686869,164.1890788611977,4620.7018948134655,4337.204680442045,23634.999345921497,10878.204973624615,9924.03144756787,14080.057295641087,9059.216823249484,1155.8685086598741,9880.540729447415
5,2016-12-31,26531.098045397543,3455.64036989637,3020.9394315611203,2860.079874631797,29042.214373576433,3562.125859925505,15027.590360870445,53.928286050408744,2172.8665977629344,9629.860669751828,152.47636195690473,4272.619040484595,4202.546744085183,23121.296788428594,10529.825414297426,9885.683756292648,14359.663231248123,9232.087849042253,1111.3319242257812,9712.503283637356
5,2017-12-31,26509.735762979464,3509.6886182597787,3019.4389304991705,3068.287020881107,28992.860925929584,3440.6258778841384,14917.53291695418,28.90022524493058,2224.2900065658873,9423.005518942497,133.1724605479056,4045.3731635277977,4008.73516314891,22544.24379982488,9928.982443173354,9689.147803784583,14674.807470104757,9467.302889725093,1031.4348834378059,9798.040278479133
5,2018-12-31,26393.439497514435,3570.636141854434,2948.992531907955,3140.328920915546,29060.708660583758,3380.40285658086,14852.460985544063,20.125780599379326,2255.7979057483867,9365.565644140515,134.4611257059083,3883.4800391929166,3846.558393797044,22096.572323031458,9466.441686764825,9651.166499297367,14909.311848835592,9677.94962477147,958.9576424766018,9716.68136048474
5,2019-12-31,26176.249659521454,3657.8993198621974,2873.6860691850834,3208.885039512489,29183.73092294906,3364.3435819301358,14916.468771047996,11.54238675798753,2284.226502320849,9333.275324586644,135.983057106361,3780.516452140403,3692.7440319643156,21761.25627000982,9126.66277909771,9784.081759477478,15050.588665384848,9847.04451679738,891.7189353826313,9465.569301632528
6,2006-12-31,19400.728497,4954.216156,1953.5877649999998,1702.993825,20712.556757000002,2971.8040809999998,10733.070426999999,82.87306799999999,1278.0459220000002,7527.666749,86.731503,4922.8339559999995,4300.4963179999995,17573.027103999997,8330.505347,8316.454846,11768.457237,6538.489551999999,1162.7684490000001,6942.222317
6,2007-12-31,19464.044287000004,4816.260125000001,1885.874032,1759.573566,20693.855498,3000.4938869999996,10716.222097999998,73.892832,1374.5817869999998,7765.562844,87.68831300000001,4802.576391,4271.937560000001,17337.193449000002,8332.06082,8212.050338000001,11748.402794000003,6701.593441999999,1126.285369,7094.152196000001
6,2008-12-31,18987.594588,4702.744648,1860.579784,1745.2233820000001,20280.692543,2962.4063640000004,10376.395260000001,71.493418,1380.576582,7453.69521,99.691305,4572.457932,4108.0797139999995,16730.12731,7843.93246,7992.086695,11440.676994000001,6780.452115000001,1157.0380060000002,6884.113728
6,2009-12-31,18698.452611999997,4627.829323000001,1837.385522,1738.9240989999998,20215.022339,2863.192386999999,10211.860923,71.51166500000001,1384.523484,7310.508546999999,80.88612499999999,4349.73501,4050.2751350000012,16120.862259,7729.217659999999,7598.906021,11413.810527,6917.632188999999,1163.934481,6687.188520999999
