"Libellé";"Enquête mensuelle de conjoncture auprès des ménages - Indicateur synthétique de confiance des ménages (premier facteur des soldes d'opinion de l'enquête) - Données CVS";"Codes"
"idBank";"001587668";""
"Période";"";""
"1974-03";"111";"A"
"1974-02";"110";"A"
"1974-01";"113";"A"
"1973-12";"118";"A"
"1973-11";"122";"A"
"1973-10";"124";"A"
"1973-09";"124";"A"
"1973-08";"125";"A"
"1973-07";"127";"A"
"1973-06";"129";"A"
"1973-05";"130";"A"
"1973-04";"131";"A"
"1973-03";"130";"A"
"1973-02";"130";"A"
"1973-01";"129";"A"
"1972-12";"128";"A"
"1972-11";"127";"A"
"1972-10";"126";"A"
