"Libellé";"Prix moyens mensuels de vente au détail en métropole - Gazole (1 litre)";"Codes"
"idBank";"000442588";""
"Période";"";""
"2001-05";"0.82";"A"
"2001-04";"0.8";"A"
"2001-03";"0.8";"A"
"2001-02";"0.8";"A"
"2001-01";"0.81";"A"
"2000-12";"0.89";"A"
"2000-11";"0.91";"A"
"2000-10";"0.9";"A"
"2000-09";"0.93";"A"
"2000-08";"0.84";"A"
"2000-07";"0.83";"A"
"2000-06";"0.82";"A"
"2000-05";"0.81";"A"
"2000-04";"0.8";"A"
"2000-03";"0.82";"A"
"2000-02";"0.81";"A"
"2000-01";"0.81";"A"
"1999-12";"0.78";"A"
"1999-11";"0.73";"A"
"1999-10";"0.72";"A"
"1999-09";"0.71";"A"
"1999-08";"0.7";"A"
"1999-07";"0.68";"A"
"1999-06";"0.67";"A"
"1999-05";"0.67";"A"
"1999-04";"0.67";"A"
"1999-03";"0.64";"A"
"1999-02";"0.63";"A"
"1999-01";"0.63";"A"
"1998-12";"0.62";"A"
"1998-11";"0.63";"A"
"1998-10";"0.63";"A"
"1998-09";"0.63";"A"
"1998-08";"0.63";"A"
"1998-07";"0.64";"A"
"1998-06";"0.64";"A"
"1998-05";"0.65";"A"
"1998-04";"0.66";"A"
"1998-03";"0.66";"A"
"1998-02";"0.67";"A"
"1998-01";"0.68";"A"
"1997-12";"0.68";"A"
"1997-11";"0.69";"A"
"1997-10";"0.68";"A"
"1997-09";"0.67";"A"
"1997-08";"0.68";"A"
"1997-07";"0.67";"A"
"1997-06";"0.67";"A"
"1997-05";"0.68";"A"
"1997-04";"0.68";"A"
"1997-03";"0.69";"A"
"1997-02";"0.7";"A"
"1997-01";"0.71";"A"
"1996-12";"0.7";"A"
"1996-11";"0.7";"A"
"1996-10";"0.7";"A"
"1996-09";"0.66";"A"
"1996-08";"0.64";"A"
"1996-07";"0.64";"A"
"1996-06";"0.64";"A"
"1996-05";"0.65";"A"
"1996-04";"0.66";"A"
"1996-03";"0.65";"A"
"1996-02";"0.63";"A"
"1996-01";"0.62";"A"
"1995-12";"0.6";"A"
"1995-11";"0.6";"A"
"1995-10";"0.6";"A"
"1995-09";"0.6";"A"
"1995-08";"0.59";"A"
"1995-07";"0.59";"A"
"1995-06";"0.59";"A"
"1995-05";"0.59";"A"
"1995-04";"0.59";"A"
"1995-03";"0.59";"A"
"1995-02";"0.59";"A"
"1995-01";"0.59";"A"
"1994-12";"0.59";"A"
"1994-11";"0.59";"A"
"1994-10";"0.59";"A"
"1994-09";"0.59";"A"
"1994-08";"0.59";"A"
"1994-07";"0.59";"A"
"1994-06";"0.6";"A"
"1994-05";"0.6";"A"
"1994-04";"0.6";"A"
"1994-03";"0.6";"A"
"1994-02";"0.6";"A"
"1994-01";"0.6";"A"
"1993-12";"0.59";"A"
"1993-11";"0.6";"A"
"1993-10";"0.6";"A"
"1993-09";"0.59";"A"
"1993-08";"0.56";"A"
"1993-07";"0.54";"A"
"1993-06";"0.54";"A"
"1993-05";"0.55";"A"
"1993-04";"0.55";"A"
"1993-03";"0.54";"A"
"1993-02";"0.54";"A"
"1993-01";"0.53";"A"
"1992-12";"0.54";"A"
"1992-11";"0.54";"A"
"1992-10";"0.53";"A"
"1992-09";"0.53";"A"
"1992-08";"0.54";"A"
"1992-07";"0.54";"A"
"1992-06";"0.54";"A"
"1992-05";"0.54";"A"
"1992-04";"0.53";"A"
"1992-03";"0.54";"A"
"1992-02";"0.54";"A"
"1992-01";"0.54";"A"
