sondage,weightsondeur_farleft,weightsondeur_left,weightsondeur_green,weightsondeur_center,weightsondeur_right,weightsondeur_farright
Harris,,1.032258064516129,,0.9838709677419355,1.032258064516129,0.9846514559712862
Ifop,,1.1569375954639316,,1.1849266685411102,1.036726092607479,1.1529313341039769
Ipsos,0.9411764705882353,0.9411764705882353,0.9838709677419355,1.0074268534426287,1.0960831244778326,0.9411764705882353
Kantar,1.2105263157894737,1.1092018584696242,1.2105263157894737,1.2857142857142856,0.8571428571428572,1.2682926829268293
